sno,townName,category,state,district
5047,Venkarai,T.P,Tamil Nadu,Namakkal
5048,Venkatagiri,C.T,Andhra Pradesh,Nellore
5049,Venkatapura,C.T,Karnataka,Uttara Kannada
5050,Venmanad,C.T,Kerala,Thrissur
5051,Vennanthur,T.P,Tamil Nadu,Namakkal
5052,Vepagunta,C.T,Andhra Pradesh,Visakhapatnam
5053,Veppathur,T.P,Tamil Nadu,Thanjavur
5054,Veraval,M,Gujarat,Junagadh
5055,Verkilambi,T.P,Tamil Nadu,Kanniyakumari
5056,Vetapalem,C.T,Andhra Pradesh,Prakasam
5057,Vettaikaranpudur,T.P,Tamil Nadu,Coimbatore
5058,Vettavalam,T.P,Tamil Nadu,Tiruvanamalai
5059,Vicarabad,N.P,Andhra Pradesh,Rangareddi
5060,Vidisha,M,Madhya Pradesh,Vidisha
5061,Vidyavihar,M,Rajasthan,Jhunjhunun
5062,Vijaigarh,N.P,Uttar Pradesh,Aligarh
5063,Vijainagar,M,Rajasthan,Ganganagar
5064,Vijainagar,M,Rajasthan,Ajmer
5065,Vijalpor,M,Gujarat,Navsari
5066,Vijapur,M,Gujarat,Mahesana
5067,Vijay Pur,N.AC,Jammu & Kashmir,Jammu
5068,Vijayapura,T.M.C,Karnataka,Bangalore Rural
5069,Vijayapuri,C.T,Tamil Nadu,Erode
5070,Vijayapuri (North),C.T,Andhra Pradesh,Nalgonda
5071,Vijayawada,M.Corp,Andhra Pradesh,Krishna
5072,Vijayraghavgarh,N.P,Madhya Pradesh,Katni
5073,Vikasnagar,M.B,Uttaranchal,Dehradun
5074,Vikramasingapuram,T.P,Tamil Nadu,Tirunelveli
5075,Vikravandi,T.P,Tamil Nadu,Viluppuram
5076,Vilangudi,T.P,Tamil Nadu,Madurai
5077,Vilankurichi,C.T,Tamil Nadu,Coimbatore
5078,Vilapakkam,T.P,Tamil Nadu,Vellore
5079,Vilathikulam,T.P,Tamil Nadu,Toothukudi
5080,Vilavur,T.P,Tamil Nadu,Kanniyakumari
5081,Villiappally,C.T,Kerala,Kozhikode
5082,Villukuri,T.P,Tamil Nadu,Kanniyakumari
5083,Viluppuram,M,Tamil Nadu,Viluppuram
5084,Vinukonda,C.T,Andhra Pradesh,Guntur
5085,Virajpet,T.P,Karnataka,Kodagu
5086,Viramgam,M,Gujarat,Ahmadabad
5087,Virar,M.Cl,Maharashtra,Thane
5088,Viratnagar,M,Rajasthan,Jaipur
5089,Virudhachalam,M,Tamil Nadu,Cuddalore
5090,Virudhunagar,M,Tamil Nadu,Virudhunagar
5091,Virupakshipuram,C.T,Tamil Nadu,Vellore
5092,Visakhapatnam,M.Corp,Andhra Pradesh,Visakhapatnam
5093,Visavadar,M,Gujarat,Junagadh
5094,Vishrampur,C.T,Chhattisgarh,Surguja
5095,Visnagar,M,Gujarat,Mahesana
5096,Viswanatham,T.P,Tamil Nadu,Virudhunagar
5097,Vita,M.Cl,Maharashtra,Sangli
5098,Vitthal Udyognagar INA,I.N.A,Gujarat,Anand
5099,Vizianagaram,M,Andhra Pradesh,Vizianagaram
5100,Vrindavan,M.B,Uttar Pradesh,Mathura
5101,Vyara,M,Gujarat,Surat
5102,Wadgaon Road,C.T,Maharashtra,Yavatmal
5103,Wadhwan,M,Gujarat,Surendranagar
5104,Wadi,C.T,Karnataka,Gulbarga
5105,Wadi,C.T,Maharashtra,Nagpur
5106,Wadi ACC,N.AC,Karnataka,Gulbarga
5107,Waghapur,C.T,Maharashtra,Yavatmal
5108,Wai,M.Cl,Maharashtra,Satara
5109,Wajegaon,C.T,Maharashtra,Nanded
5110,Walajabad,T.P,Tamil Nadu,Kancheepuram
5111,Walajapet,M,Tamil Nadu,Vellore
5112,Walani,C.T,Maharashtra,Nagpur
5113,Waliv,C.T,Maharashtra,Thane
5114,Wanadongri,C.T,Maharashtra,Nagpur
5115,Wanaparthi,N.P,Andhra Pradesh,Mahbubnagar
5116,Wangjing,N.P,Manipur,Thoubal
5117,Wangoi,N.P,Manipur,Imphal West
5118,Wani,M.Cl,Maharashtra,Yavatmal
5119,Wankaner,M,Gujarat,Rajkot
5120,Wara Seoni,M,Madhya Pradesh,Balaghat
5121,Warangal,M.Corp,Andhra Pradesh,Warangal
5122,Wardha,M.Cl,Maharashtra,Wardha
5123,Warhapur,N.P,Uttar Pradesh,Bijnor
5124,Warisaliganj,N.A,Bihar,Nawada
5125,Warora,M.Cl,Maharashtra,Chandrapur
5126,Warud,M.Cl,Maharashtra,Amravati
5127,Washim,M.Cl,Maharashtra,Washim
5128,Wazirganj,N.P,Uttar Pradesh,Budaun
5129,Weir,M,Rajasthan,Bharatpur
5130,Wellington,C.B,Tamil Nadu,The Nilgiris
5131,Williamnagar,M.B,Meghalaya,East Garo Hills
5132,Wokha,T.C,Nagaland,Wokha
5133,Yadagirigutta,C.T,Andhra Pradesh,Nalgonda
5134,Yadgir,T.M.C,Karnataka,Gulbarga
5135,Yairipok,N.P,Manipur,Thoubal
5136,Yamunanagar,M.Cl,Haryana,Yamunanagar
